english,spanish,gemma3:4b,score
Increases firmness,Mejora la firmeza,Aumenta la firmeza,0.7368
Improves wrinkles,Reduce las arrugas,Reduce arrugas,0.5882
Reduces redness,Reduce las rojeces,Reduce la roja,0.5223
"The world's first full-spectrum red light therapy with NIR. Mimics the sun’s natural healing wavelengths, delivering broad and narrow light while filtering out UV and blue.","El primer dispositivo del mundo de terapia con luz roja de espectro completo para el rejuvenecimiento de la piel. Aprovecha el poder reparador de la luz solar, pero sin los rayos dañinos.","El primer sistema completo de terapia con luz roja de espectro completo con NIR. Imita las longitudes de onda naturales de curación del sol, entregando luz amplia y estrecha mientras filtra los rayos UV y el azul.",0.7137
FAQ™ LED Panel,FAQ™ LED Panel,Preguntas Frecuentes™ Panel LED,0.7178
Red light therapy to reduce wrinkles and significantly improve firmness and elasticity.,Disminuye las líneas de expresión y las imperfecciones con 3 luces LED.,Red light therapy para reducir las arrugas y mejorar significativamente la firmeza y la elasticidad.,0.5965
"Near-infrared, red LED cleansing & microcurrent. For aging skin.",Limpieza facial con LED cercana de infrarrojos y microcorrientes para piel madura.,"Near-infrared, LED rojo de limpieza y microcorriente. Para pieles envejecidas.",0.7366
A revolutionary NIR and red light therapy facial device clinically proven to reduce wrinkles in just 1 week.,Clínicamente probado para aumentar la hidratación de la piel un 126% en sólo 2 minutos.,"Dispositivo de terapia con luz NIR y roja revolucionario, clínicamente probado para reducir las arrugas en solo 1 semana.",0.7111
"On-the-go deep facial hydration device that leaves you with a healthy, happy & hydrated complexion in just 2 mins.",Hidrata profundamente la piel en cualquier momento y lugar.,"Dispositivo de hidratación facial profunda para llevar que te deja con un cutis sano, feliz e hidratado en solo 2 minutos.",0.6434
SCIENCE,SCIENCE,Ciencia,0.6996
Do At-Home LED Masks Work? Separating Fact & Fiction,¿Funcionan las máscaras LED para usar en casa? Realidad vs. ficción,¿Funcionan las mascarillas LED para hacerlas en casa? Separando la realidad de la ficción,0.7636
HAND MASKS,MASCARILLAS DE MANO,Guantes para las manos,0.4408
Hands Down: LED Hand Masks Are Your Best Anti-Aging Move,No hay duda: las mascarillas LED son tu mejor opción antiedad,Manos a la obra: las mascarillas LED para manos son tu mejor movimiento antiedad.,0.6785
DO RED LIGHT MASKS ACTUALLY WORK?,¿FUNCIONAN REALMENTE LAS MÁSCARAS LED DE LUZ ROJA?,¿Los protectores faciales rojos realmente funcionan?,0.5677
DOES IT HELP WITH WRINKLES?,¿AYUDAN A COMBATIR LAS ARRUGAS?,¿AYUDA CON LAS ARRUÍNAS?,0.7875
DOES IT HURT TO USE?,¿ES UNA TERAPIA DOLOROSA?,¿Le duele usarlo?,0.5692
IS RED LIGHT THERAPY SAFE DURING PREGNANCY?,¿ES SEGURA LA TERAPIA DE LUZ ROJA DURANTE EL EMBARAZO?,¿Es seguro el tratamiento con luz roja durante el embarazo?,0.668
WHAT IS THE LED FREQUENCY WAVELENGTH OF THE RED LIGHT THERAPY?,¿CUÁL ES LA LONGITUD DE ONDA DE LA FRECUENCIA LED EN LA TERAPIA DE LUZ ROJA?,¿Cuál es la frecuencia de onda larga del LED de la terapia de luz roja?,0.628
Everything your face desires,Todo lo que tu rostro y cuerpo desean,Todo lo que desees de tu rostro,0.6492
"Experience remarkable transformations with FOREO's pro-level skincare essentials. Effortlessly eliminate the day's impurities and makeup residue, revealing a refreshed, revitalized, and irresistibly soft complexion. Take your skincare routine to unparalleled heights by embracing FOREO's range of deeply moisturizing cleansers, hydration-boosting masks, youth-preserving serums, and much more.","El cuidado facial depende de la calidad de tus dispositivos y productos cosméticos. Para lucir y sentirte mejor, escoge productos que mejoran tu bienestar y tu cuidado personal. Elige dispositivos, mascarillas, sérums y cualquier producto para la piel de nivel profesional para que puedas lucir un aspecto inmejorable.","Experimenta transformaciones notables con FOREO’s esenciales de cuidado de la piel de nivel profesional. Elimina sin esfuerzo las impurezas y los residuos de maquillaje del día, revelando una tez renovada, revitalizada e irresistiblemente suave. Lleva tu rutina de cuidado de la piel a cotas inigualables abrazando la gama de limpiadores profundamente hidratantes, mascarillas de impulso de hidratación, serums preservadores de la juventud y mucho más.",0.616
KIWI™ Pore Minimizing Toner Pads,KIWI™ Discos tonificantes y reductores de poros,KIWI™ Pásas Minimiza Pores,0.4557
"Korean toner pads that minimize pores, calm redness, balance pH level & strengthen the skin barrier.","Discos tonificantes coreanos que disminuyen los poros, calman las rojeces, equilibran el nivel de pH y fortalecen la barrera cutánea.","Espuma para toallas Koreanas que minimizan los poros, calman la rojez, equilibran el pH y fortalecen la barrera cutánea.",0.7849
5-in-1 spa device for deep hydration & better absorption of active ingredients.,Dispositivo spa de cuidado facial doméstico.,Dispositivo spa de 5 en 1 para hidratación profunda y mejor absorción de ingredientes activos.,0.6756
Compact facial spa device that unlocks the full value of masks.,Dispositivo spa facial para un tratamiento rápido.,Dispositivo facial spa compacto que desbloquea el valor total de las mascarillas.,0.6248
ISSA™ mini Sensitive Brush Head,Cabezal de cepillado ISSA™ mini Sensitive,ISSA™ mini Cabeza de Cepillo Sensible,0.699
