english,spanish,gemma2:9b,endpoint,gemma3:4b,gemma3:4b-it-qat,thinkverse/towerinstruct:latest
"It's clinically proven to remove 99% of dirt, oil and makeup residue.","Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje.","Está clínicamente probado para eliminar el 99% de la suciedad, el aceite y los residuos de maquillaje.",luna-mini-collection,"Está clínicamente probado para eliminar el 99% del sucio, el aceite y los residuos de maquillaje.","Está clínicamente probado para eliminar el 99% del sucio, el aceite y los restos de maquillaje.","Probablemente se pruebe clínicamente la eliminación del 99% de suciedad, aceite y restos de maquillaje."
"When in a hurry, use 30-second Glow Boost mode for a quick refresh.","Cuando tengas prisa, usa el modo Glow Boost de 30 segundos.","Cuando tengas prisa, usa el modo Glow Boost de 30 segundos para una rápida renovación.",luna-mini-collection,"Cuando tengas prisa, usa el modo Glow Boost de 30 segundos para un refresco rápido.","Cuando tengas prisa, usa el modo Glow Boost de 30 segundos para una rápida actualización.","Cuando estés en un apuro, utiliza el modo de brillo rápido de 30 segundos para un rápido recambio."
Clinically proven,Probado clínicamente,Prprobablemente demostrado clínicamente,luna-mini-collection,Probado clínicamente,Clinicamente probado,Estudio clínico probado.
"LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini combina pulsaciones T-SonicTM y suaves filamentos de silicona para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje, y es 35 veces más higiénico que los filamentos de nylon.","LUNATM 4 mini utiliza pulsaciones T-Sonic™ y puntos táctiles de silicona suave como la seda para eliminar las impurezas atrapadas en profundidad dentro de los poros. Está clínicamente probado para eliminar el 99% de la suciedad, el aceite y los restos de maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nylon.",luna-mini-collection,"El LUNATM 4 mini utiliza pulsaciones T-SonicTM y puntos de contacto de silicona suave como la seda para eliminar las impurezas atrapadas en lo profundo de los poros. Está clínicamente probado para eliminar el 99% del sucio, el aceite y los residuos de maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nailon.","LUNATM 4 mini utiliza pulsaciones T-SonicTM y puntos de contacto de silicona suave como la seda para eliminar las impurezas atrapadas profundamente en los poros. Está clínicamente probado para eliminar el 99% del sucio, el aceite y los restos de maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nylon.","Lunatm 4 mini usa pulsaciones T-SonicTM y puntos de contacto de silicona muy suaves para eliminar las impurezas atrapadas en los poros, y se ha probado que es capaz de quitar el 99% de la suciedad, aceite y restos de maquillaje. Además, es un 35x más higiénico que cepillos con cerdas"
Glow Boost,Glow Boost,Boost de brillo,luna-mini-collection,Aumenta el brillo,Glow Boost,Reforzar el brillo de.
Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Revela una piel radiante en sólo 30 segundos. El modo Glow Boost limpia tu piel cuando no tengas tiempo para una rutina completa. El 100% de usuarios declaró sentir la piel más radiante después de cada uso.,Consigue un cutis radiante en tan solo 30 segundos. El modo Acelera Brillo con pulsación rápida te da una piel perfecta cuando no hay tiempo para una rutina completa. El 100 % de los usuarios afirman tener una piel más radiante después de su uso.,luna-mini-collection,Revela una tez radiante en tan solo 30 segundos. El modo Glow Boost pulsado rápidamente te da una piel perfecta cuando no hay tiempo para una rutina completa. El 100% de los usuarios reporta una piel más radiante tras su uso.,Revela un cutis radiante en tan solo 30 segundos. El modo Glow Boost de un solo toque te consigue una piel impecable cuando no hay tiempo para una rutina completa. El 100% de los usuarios reporta una piel más radiante tras el uso.,¡Aumenta tu aspecto radiante en solo 30 segundos! La función de brillo instantáneo te otorgará una piel perfecta cuando no tengas tiempo para realizar la rutina completa. Un 100% de usuarios informan que experimentaron una piel más radiante después del uso.
Healthy complexion,Una piel sana,Complexion saludable,luna-mini-collection,Complexión saludable,Complexión saludable,Semblante saludable
"T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","Las pulsaciones T-SonicTM potencian la microcirculación, canalizan los ingredientes sobre las células de la piel, eliminan las toxinas y aumentan el drenaje linfático. El 100% de usuarios declaró sentir la piel más fresca, y el 96% la piel más sana.","Las pulsatciones T-Sonic™ aumentan la microcirculación, llevando nutrientes a las células de la piel y eliminando toxinas, mientras que estimulan el drenaje linfático. El 100% de los usuarios reportaron una piel más fresca, con el 96% afirmando que su piel parece más saludable.",luna-mini-collection,"Las pulsaciones T-Sonic™ impulsan la microcirculación - aportando nutrientes a las células de la piel y eliminando toxinas, al tiempo que favorecen el drenaje linfático. El 100% de los usuarios informa de una piel más refrescada, y el 96% afirma que la piel se ve más sana.","Las pulsaciones T-Sonic™ aumentan la microcirculación - entregando nutrientes a las células de la piel y eliminando toxinas, mientras estimulan el drenaje linfático. El 100% de los usuarios reporta una piel más fresca, y el 96% afirma que la piel se ve más sana.","Pulsaciones de T-SonicTM potencian la microcirculación - suministrando nutrientes a las células cutáneas y eliminando toxinas, mientras se aumenta el drenaje linfático. El 100 % de los usuarios informaron una piel más refrescada, con un 96% que dice que la piel parece más sana."
"Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prepara la piel para una rutina de cuidado facial más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de usuarios sintió una mejor absorción de los productos de cuidado facial.","Prepara tu piel para la rutina de cuidado facial más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, sueros y mascarillas penetren en profundidad en la piel, donde trabajan mejor. El 98 % de los usuarios informan una mejor absorción de productos de cuidado para la piel.",luna-mini-collection,"Prepara tu piel para la rutina de cuidado facial más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel, donde funcionan mejor. El 98% de los usuarios informa de una mejor absorción de los productos para el cuidado de la piel.","Prepara tu piel para la rutina de cuidado más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, sérums y mascarillas penetren profundamente en la piel, donde funcionan mejor. El 98% de los usuarios informa de una mejor absorción de los productos para el cuidado de la piel.","Prepara tu piel para la rutina de cuidado facial más efectiva. LunaTM 4 mini permite que los ingredientes activos en tus cremas, serums y mascarillas penetren profundamente en la piel, donde funcionan mejor. Un 98% de usuarios informa de una mejor absorción de productos para el cuidado facial."
"Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Con silicona ultra higiénica, LUNATM 4 mini es resistente a las bacterias para reducir las imperfecciones. Además, exfolia y elimina las células muertas de la piel para revelar una piel fresca y radiante. El 81% de usuarios declaró una reducción en la aparición de imperfecciones.","Fabricada con silicona ultrahidrógenica, LUNATM 4 mini es resistente a bacterias para reducir los brotes. También exfolia suavemente la piel, eliminando las células muertas de la piel para revelar una piel fresca y saludable debajo. El 81 % de los usuarios reportan una reducción en la apariencia de imperfecciones.",luna-mini-collection,"Hecho de silicona ultra-higiénica, LUNATM 4 mini es resistente a las bacterias para reducir los brotes. También exfolia suavemente la piel, eliminando las células muertas para revelar una piel fresca y saludable debajo. El 81% de los usuarios informa de una reducción en la apariencia de las imperfecciones.","Hecho de silicona ultra-higiénica, LUNATM 4 mini es resistente a las bacterias para reducir las brotadas. También exfolia suavemente la piel, eliminando las células muertas para revelar una piel fresca y saludable debajo. El 81% de los usuarios reporta una reducción en la apariencia de las imperfecciones.","La LUNA® 4 mini, que está hecha de silicona ultra-hipoalergénica y resistente a la suciedad, es inmune a las bacterias, lo cual reduce el riesgo de brotes. Además, elimina los desechos de piel en exfoliación suave, revelando una nueva capa de piel sana debajo. Un 81% de usuarios informó la"
LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,"Los revolucionarios filamentos de silicona de LUNATM 4 mini son ahora 17% más suaves para deslizarse aún mejor sobre la piel y preservar su elasticidad natural. Además, incluye 12 intensidades y cada carga USB alcanza para 500 usos. No necesita piezas de remplazo. Nunca.",Los puntos táctiles revolucionarios de silicona de LUNATM 4 mini ahora son un 17% más suaves para deslizarse aún más sin esfuerzo sobre la piel y preservar la elasticidad natural. Ofrece 12 intensidades y dura hasta 500 usos por una carga USB. No se necesitan piezas de repuesto. Nunca.,luna-mini-collection,Los puntos de contacto de silicona revolucionarios de LUNATM 4 mini son ahora un 17% más suaves para deslizarse aún más suavemente sobre la piel y preservar elástica. Ofrece 12 intensidades y dura hasta 500 usos con una sola carga USB. Nunca se necesitan piezas de repuesto.,Los nuevos puntos de contacto de silicona revolucionaria de LUNATM 4 mini son ahora un 17% más suaves para deslizarse aún más sin esfuerzo sobre la piel y preservar la elasticidad natural. Ofrece 12 intensidades y dura hasta 500 usos con una sola carga USB. Nunca se necesitan piezas de repuesto.,"El revolucionario sistema de contacto de silicona LUNATM 4 mini ahora es un 17% más suave para moverse con mayor facilidad sobre la piel y preservar su elasticidad natural. Cuenta con 12 intensidades y dura hasta 500 usos por una sola carga USB. No se necesitan partes de repuesto, nunca."
Clinically proven,Clinically proven,científicamente probado,luna-mini-collection,Demostrado clínicamente,Clinicamente probado,Estudios clínicos comprobados.
"LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini utiliza pulsaciones T-SonicTM y puntas de silicona suaves como la seda para eliminar las impurezas atrapadas profundamente dentro de los poros. Está clínicamente probado para eliminar el 99% de la suciedad, el aceite y los residuos de maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nylon.",luna-mini-collection,"El LUNATM 4 mini utiliza pulsaciones T-SonicTM y puntos de contacto de silicona suave como la seda para eliminar las impurezas atrapadas en lo profundo de los poros. Está clínicamente probado para eliminar el 99% del sucio, el aceite y los residuos de maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nailon.","LUNATM 4 mini utiliza pulsaciones T-SonicTM y puntos de contacto de silicona suave como la seda para eliminar las impurezas atrapadas profundamente en los poros. Está clínicamente probado para eliminar el 99% del sucio, el aceite y los restos de maquillaje, y es 35 veces más higiénico que los cepillos con cerdas de nailon.","LUNATM 4 mini utiliza pulsaciones T-SonicTM y tocados de silicona velosamente suave para eliminar las impurezas atrapadas en los poros profundos. Está probado clínicamente que elimina un 99% de la suciedad, el aceite y los restos de maquillaje, y es 35x más higiénico que los cepillos con"
Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Muestra un cutis radiante en tan solo 30 segundos. El modo de impulso luminoso con pulsaciones rápidas te da una piel impecable cuando no tienes tiempo para una rutina completa. El 100 % de los usuarios reportan que su piel luce más radiante después de su uso.,luna-mini-collection,Revela una tez radiante en solo 30 segundos. El modo Glow Boost con solo un toque te da una piel perfecta cuando no hay tiempo para una rutina completa. El 100% de los usuarios reporta una piel más radiante tras el uso.,Revela una tez radiante en tan solo 30 segundos. El modo Glow Boost de un solo toque te consigue una piel perfecta cuando no hay tiempo para una rutina completa. El 100% de los usuarios reporta una piel más radiante tras el uso.,Divulga una tez radiante en solo 30 segundos. El modo Glow Boost rápido te deja una piel impecable cuando no hay tiempo para una rutina completa. El 100% de los usuarios informa una tez más radiante tras su uso.
Healthy complexion,Healthy complexion,Complexion sana,luna-mini-collection,Complexión sana,Complexión sana,Semblante sano
"T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","Las pulsaciones T-Sonic™ estimulan la microcirculación, llevando nutrientes a las células de la piel y eliminando toxinas, mientras que se potencia el drenaje linfático. El 100 % de los usuarios reportan una piel más renovada, con un 96 % afirmando que su piel luce más saludable.",luna-mini-collection,"Las pulsaciones T-Sonic™ mejoran la microcirculación – entregando nutrientes a las células de la piel y eliminando toxinas, al tiempo que estimulan el drenaje linfático. El 100% de los usuarios reporta una piel más fresca, y el 96% afirma que su piel luce más sana.","Las pulsaciones T-Sonic™ estimulan la microcirculación - entregando nutrientes a las células de la piel y eliminando toxinas, mientras estimulan el drenaje linfático. El 100% de los usuarios reporta una piel más refrescada, y el 96% afirma que la piel se ve más sana.","Los pulsos T-SonicTM estimulan el microcirculación - suministrando nutrientes a las células de la piel y eliminando toxinas, al mismo tiempo que promueven el drenaje linfático. El 100 % de los usuarios declaran tener una piel más revitalizada, y el 96 % afirma que su aspecto es más saludable."
Flawless prep,Flawless prep,Preparación impecable,luna-mini-collection,Preparación impecable,Preparación impecable,Elaboración perfecta.
"Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prepara tu piel para la rutina de cuidado de la piel más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, sueros y máscaras penetren en profundidad en la piel, donde funcionan mejor. El 98 % de los usuarios reportan una mejor absorción de productos para el cuidado de la piel.",luna-mini-collection,"Prepara tu piel para la rutina de cuidado facial más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, sérums y mascarillas penetren profundamente en la piel, donde funcionan mejor. El 98% de los usuarios informan de una mejor absorción de los productos para el cuidado de la piel.","Prepárate la piel para la rutina de cuidado facial más efectiva. LUNATM 4 mini permite que los ingredientes activos de tus cremas, sérums y mascarillas penetren profundamente en la piel, donde funcionan mejor. El 98% de los usuarios informa de una mejor absorción de los productos para el cuidado de la piel.","Preparar su piel para el rutina de cuidado facial más eficaz. LUNATM 4 mini permite que los ingredientes activos en sus cremas, tratamientos y máscaras penetren profundamente en la piel, donde funcionan mejor. Un 98% de usuarios informa de una mejor absorción de productos de cuidado facial."
Reduce blemishes,Reduce blemishes,Reducir imperfecciones,luna-mini-collection,Reducir manchas,Reducir las manchas,Sin traducción necesaria.
"Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Hecho de silicona ultrarrubia, LUNATM 4 mini es resistente a las bacterias para reducir los brotes. También exfolia suavemente la piel, eliminando las células muertas para revelar una piel fresca y saludable debajo. El 81% de los usuarios reportan una reducción en la aparición de imperfecciones.",luna-mini-collection,"Hecho de silicona ultra-higiénica, LUNATM 4 mini es resistente a las bacterias para reducir los brotes. También exfolia suavemente la piel, eliminando las células muertas para revelar una piel fresca y sana debajo. El 81% de los usuarios informa de una reducción en la apariencia de las imperfecciones.","Hecho de silicona ultra-higiénica, LUNATM 4 mini es resistente a las bacterias para reducir las brotadas. También exfolia suavemente la piel, eliminando las células muertas de la piel para revelar una piel fresca y saludable debajo. El 81% de los usuarios informa de una reducción en la apariencia de las imperfecciones.","Confeccionada en silicona ultraliquida, LUNATM 4 mini es resistente a las bacterias para reducir las brotes. También exfolia suavemente la piel, eliminando las células muertas de la piel para revelar una nueva y saludable piel debajo. Un 81% de usuarios informan un aspecto reducido en sus imperfecciones."
Upgraded design,Upgraded design,Diseño mejorado,luna-mini-collection,Diseño mejorado,Diseño mejorado,El diseño mejorado
LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,Los revolucionarios puntos táctiles de silicona de LUNATM 4 mini son ahora un 17% más suaves para deslizarse aún más fácilmente por la piel y preservar su elasticidad natural. Ofrece 12 intensidades y dura hasta 500 usos por carga USB. No se necesitan piezas de repuesto. Nunca.,luna-mini-collection,Los puntos de contacto de silicona revolucionarios del LUNATM 4 mini son ahora un 17% más suaves para deslizarse aún más suavemente sobre la piel y preservar elástica. Ofrece 12 intensidades y dura hasta 500 usos con una sola carga USB. Nunca se necesitan piezas de repuesto.,Los punts de tacte de silicona revolucionarios del LUNATM 4 mini son ahora un 17% más blandos para deslizarse aún más fácilmente sobre la piel y preservar la elasticidad natural. Ofrece 12 intensidades y dura hasta 500 usos con una sola carga USB. No se necesitan piezas de repuesto. Nunca.,"LunaTM 4 mini cuenta con puntos de contacto de silicona revolucionarios, que ahora son un 17% más suaves para deslizarse sin esfuerzo sobre la piel y preservar su elasticidad natural. Ofrece 12 intensidades y dura hasta 500 usos por una carga USB. Nunca necesitarás reemplazar partes."
100% of users report more refreshed skin.,El 100% declaró sentir la piel más fresca.,El 100% de los usuarios informan de una piel más renovada.,luna-mini-collection,El 100% de los usuarios reporta más piel revitalizada.,El 100% de los usuarios reporta una piel más refrescada.,El 100 % de los usuarios informa tener una piel más fresca.
100% of users report more radiant skin.,El 100% declaró sentir la piel más fresca y radiante.,El 100 % de los usuarios informan de una piel más radiante.,luna-mini-collection,El 100% de los usuarios reporta una piel más radiante.,El 100% de los usuarios reporta una piel más radiante.,El 100 % de los usuarios informan de tener una piel más radiante.
Choose color: Lavender,Elige el color: Lavender,Elige color: Lavanda,luna-mini-collection,Elige color: Lavanda,Elegir color: Lavanda,Escoja el color: Lavanda
96% of users report healthier-looking skin. 81% report reduced blemishes.,El 96% de usuarios declaró sentir la piel más sana. El 81% menos imperfecciones.,El 96 % de los usuarios reportan piel con mejor aspecto. El 81 % informa de una reducción en los granos.,luna-mini-collection,El 96% de los usuarios informan de una piel con un aspecto más sano. El 81% informa de una reducción de las imperfecciones.,El 96% de los usuarios reporta una piel con un aspecto más saludable. El 81% reporta una reducción de las imperfecciones.,El 96 % de los usuarios informan que su piel parece más sana. Un 81% declara la reducción de las imperfecciones de su piel.
98% of users experience better absorption of skincare products.,El 98% de usuarios sintió una mejor absorción de los productos de cuidado facial.,El 98 % de los usuarios experimentan una mejor absorción de productos para el cuidado de la piel.,luna-mini-collection,El 98% de los usuarios experimenta una mejor absorción de los productos para el cuidado de la piel.,El 98% de los usuarios experimenta una mejor absorción de los productos de cuidado de la piel.,El 98% de los usuarios experimenta una mejor absorción de productos para el cuidado de la piel.
2-zone brush head & quick 30-second Glow Boost mode for ultimate ease.,Cabezal de 2 zonas y modo rápido Glow Boost para facilitar la limpieza.,Cabeza de cepillo de 2 zonas y modo de impulso rápido de 30 segundos para una máxima facilidad.,luna-mini-collection,Cabezal de cepillo de 2 zonas y modo de impulso de brillo de 30 segundos para la máxima facilidad.,Cabezal de cepillo de 2 zonas y modo de potenciación de brillo de 30 segundos para la máxima facilidad.,Cabezal de cepillo para 2 zonas y modo rápido Glow Boost de 30 segundos para máxima facilidad.
"12 intensities, lightweight, and ergonomically designed to fit facial curves.","12 intensidades, ligero, y diseñado ergonómicamente para adaptarse a las curvas de tu rostro.","12 intensidades, ligero y diseñado ergonómicamente para adaptarse a las curvas faciales.",luna-mini-collection,"12 intensidades, ligero y diseñado ergonómicamente para que se ajuste a las curvas faciales.","12 intensidades, ligero y diseñado ergonómicamente para adaptarse a las curvas faciales.","12 intensidades, livianas y de diseño ergonómico para ajustarse a las curvas faciales."
"Dampen your face and apply your face cleanser. For optimal results, we recommend FOREO Micro-Foam Cleanser. Then wet LUNATM 4 mini.","Humedece tu rostro y aplica tu limpiador facial. Para resultados óptimos, recomendamos usar FOREO Micro-Foam Cleanser. Humedece LUNATM 4 mini.","humedece tu rostro y aplica tu limpiador facial. Para obtener los mejores resultados, recomendamos el limpiador de espuma micro de FOREO. Luego moja LUNATM 4 mini.",luna-mini-collection,"Humedece tu rostro y aplica tu limpiador facial. Para obtener resultados óptimos, recomendamos FOREO Micro-Foam Cleanser. Luego humedece LUNATM 4 mini.","Humedece tu rostro y aplica tu limpiador facial. Para obtener resultados óptimos, recomendamos FOREO Micro-Foam Cleanser. Luego humedece LUNATM 4 mini.","Humedezca su cara y aplique su limpiador facial. Para mejores resultados, le recomendamos el limpiador micro-espumoso FOREO. Luego humedezca LUNA 4 mini."
Press the universal button to turn on your device. You can activate 30-sec Glow Boost mode by double-pressing the universal button. Glide the device in circular motions over your face/neck until skin is cleansed.,Pulsa el botón central para encender tu dispositivo.Puedes activar el modo Glow Boost de 30 segundos pulsando dos veces el botón central. Desliza el dispositivo con movimientos circulares sobre tu rostro/cuello hasta cubrir toda tu piel.,Presiona el botón universal para encender tu dispositivo. Puedes activar el modo de intensificación luminosa de 30 segundos haciendo doble clic en el botón universal. Desliza el dispositivo en movimientos circulares por tu rostro/cuello hasta que la piel esté limpia.,luna-mini-collection,Presiona el botón universal para encender tu dispositivo. Puedes activar el modo Glow Boost de 30 segundos pulsando dos veces el botón universal. Desliza el dispositivo sobre tu rostro/cuello en círculos hasta que la piel esté limpia.,Pulse el botón universal para encender tu dispositivo. Puedes activar el modo Glow Boost de 30 segundos al doble pulsar el botón universal. Desliza el dispositivo en círculos sobre tu rostro/cuello hasta que la piel esté limpia.,Presione el botón universal para encender su dispositivo. Puede activar el modo de brillo rápido de 30 segundos al doblar el botón universal. Haga un movimiento circular con el dispositivo sobre la cara/cuello hasta que la piel esté limpia.
Rinse,Aclara,Enjuagar,luna-mini-collection,Aclarar,Enjuagar,Debes lavar tus oídos con agua tibia y sal para eliminar el exceso de cerumen que pudiera haber generado picor o dolor.
"Once finished, press the universal button to turn off your device, (or it will automatically turn off after 1 min). Then rinse face/neck and device.","Cuando finalices, pulsa el botón central para apagar tu dispositivo (o se apagará automáticamente después de 1 minuto). A continuación, aclara tu rostro/cuello y tu dispositivo.","Una vez terminado, pulsa el botón universal para apagar tu dispositivo, (o se apagará automáticamente después de 1 min). Luego enjuaga el rostro/cuello y el dispositivo.",luna-mini-collection,"Una vez terminado, presione el botón universal para apagar su dispositivo, (o se apagará automáticamente después de 1 minuto). Luego enjuague la cara/cuello y el dispositivo.","Una vez terminado, presione el botón universal para apagar su dispositivo, (o se apagará automáticamente después de 1 minuto). Luego enjuague la cara/cuello y el dispositivo.",Deja de funcionar tu dispositivo presionando el botón universal y luego enjuaga cara/cuello y dispositivo.
Staggering battery life USB rechargeable with up to 500 uses per single charge.,Batería de duración extrema Recargable por USB. Hasta 500 usos por carga.,Increíble duración de batería recargable por USB con hasta 500 usos por carga única.,luna-mini-collection,"Duración de batería impresionante, recargable mediante USB con hasta 500 usos por única carga.",Duración de batería asombrosa. Recargable por USB con hasta 500 usos por única carga.,Vida de la batería asombrosa USB cargable con hasta 500 usos por carga única.
USB rechargeable with up to 500 uses per single charge.,Recargable por USB. Hasta 500 usos por carga.,Recargable mediante USB con hasta 500 usos por carga única.,luna-mini-collection,USB recargable con hasta 500 usos por única carga.,USB recargable con hasta 500 usos por carga única.,Cargador de USB con hasta 500 usos por carga única.
UFO™ 3 mini,UFO™ 3 mini,Ovni™ 3 mini,luna-mini-collection,UFO™ 3 mini,UFO™ 3 mini,OVNI™ 3 Mini
SUPERCHARGED™ HA+PGA Triple-Action Intense Moisturizer,SUPERCHARGED™ HA+PGA Triple-Action Intense Moisturizer,SUPERCHARGED™ HA+PGA Triple-Action Intenso Hidratante,luna-mini-collection,SUPERCHARGED™ HA+PGA Triple-Action Intense Moisturizer,SUPERCHARGED™ HA+PGA Triple-Action Intense Moisturizer,Acondicionador intensivo de triple acción SUPERCHARGED™ HA+PGA.
IRIS™ C-Concentrated Brightening Eye Cream,IRIS™ C-Concentrated Brightening Eye Cream,IRIS™ Crema de ojos iluminadora concentrada C,luna-mini-collection,IRIS™ C-Concentrated Brightening Eye Cream,IRIS™ C-Concentrado Iluminador para la Crema del Ojo,Crema para ojos de iris™ concentrada brillante.
Cleanse skin & signs of aging. At the same time.,Limpia la piel y los signos de la edad. Al mismo tiempo.,Limpia la piel y las señales del envejecimiento. Al mismo tiempo.,luna-plus-collection,Limpiar la piel y las señales de envejecimiento. Al mismo tiempo.,Limpiar la piel y los signos de la edad. Al mismo tiempo.,Purifica la piel y los signos de envejecimiento. Al mismo tiempo.
"Introducing the only facial cleansing device with clinical-grade anti-aging treatments – targeted microcurrent, NIR & red LED light therapy. Clinically proven to remove 99% of dirt, oil & makeup residue, with bacteria-resistant silicone touchpoints & T-SonicTM pulsations.","Te presentamos el único dispositivo de limpieza facial con tratamientos antiedad de nivel clínico, basados en una combinación de microcorrientes y terapia de luz LED. Ha sido probado clínicamente que elimina el 99% de la suciedad, la grasa y los restos de maquillaje, gracias a sus filamentos de silicona resistentes a las bacterias y a las pulsaciones T-Sonic™.","Presentación del único dispositivo de limpieza facial con tratamientos antienvejecimiento de grado clínico - microcorriente dirigida, terapia con luz infrarroja y roja LED. Demostrado clínicamente para eliminar el 99% de la suciedad, el aceite y los residuos de maquillaje, con puntos táctiles de silicona resistentes a las bacterias y pulsaciones T-Sonic™ .",luna-plus-collection,"Presentamos el único dispositivo de limpieza facial con tratamientos antiedad de grado clínico – microcorriente dirigida, terapia NIR y LED rojo. Clínicamente probado para eliminar el 99% de suciedad, aceite y residuos de maquillaje, con puntos de contacto de silicona resistentes a bacterias y pulsaciones T-Sonic™.","Presentando el único dispositivo de limpieza facial con tratamientos antienvejecimiento de grado clínico – microcorriente dirigida, terapia de luz NIR y LED roja. Clínicamente probado para eliminar el 99% de la suciedad, el aceite y los residuos de maquillaje, con puntos de contacto de silicona resistentes a bacterias y pulsaciones T-SonicTM.","Presentando el único dispositivo de limpieza facial con tratamientos antienvejecimiento de calidad clínica - microcorriente dirigida, terapia de luz NIR y LED roja. Se ha probado clínicamente para eliminar el 99% de suciedad, aceite y residuo de maquillaje con puntos de contacto de silicona resistentes a bacterias y pulsaciones"
